,topic,title,author,content
23,business,Step up investments for 'Atmanirbhar Bharat': Anurag Thakur to industries,Anushka Dixit,"Minister of State for Finance Anurag Thakur told industries to take advantage of the government's initiatives and boost investments to make the country ""Atmanirbhar Bharat"". Thakur added that local industries should become ""flag-bearers"" to show that India is an attractive investment destination. The government has announced structural reforms in areas like agriculture, agro exports and defence."
24,business,"Hired over 20,000 employees in US in last 5 years: TCS",Anushka Dixit,"TCS announced that it hired over 20,000 employees in the US over the last five years which has helped reduce its business risk due to low work visa dependency. By 2025, TCS expects to have only 25% employees working out of their facilities at ""any point of time"". Notably, US accounted for 52.2% of TCS' ₹1,56,949 crore revenue in 2019-20. "
25,sports,Saliva ban can enhance skills of bowlers: Joe Root,Anmol Sharma,"England Test captain Joe Root has said the ban on using saliva to shine the ball might improve skills of bowlers, who'll have to work harder to get something out of the pitch. He added, ""It could develop our bowlers in a four or five-week period.” ICC Cricket Committee Chairman Anil Kumble said the ban would be an interim measure."
26,sports,You are considered a madman if you speak truth: Younis on losing Pak's captaincy,Anmol Sharma,"Former Pakistan captain Younis Khan has said that it was his honesty which cost him his captaincy. ""You often face a situation in life where if you speak the truth, you are considered as a madman. My fault was pointing out to a group of players that they were not pushing themselves hard enough for the country,"" he added."
27,sports,Batsman should be given out as soon as the zing bails light up: Aakash Chopra,Anmol Sharma,"Cricketer-turned-commentator Aakash Chopra has said a batsman should be given out as soon as the zing bails light up. He further said, ""The moment you see the light come on, give the batsman out. Because what is happening now is that these zing bails are very heavy and they don’t come off very easily [after being struck with ball]."""
28,sports,ICC must ensure bowling-friendly pitches in Tests after saliva ban: Irfan Pathan,Anmol Sharma,"Ex-India all-rounder Irfan Pathan has said ICC must ensure bowling friendly pitches in Test cricket after banning bowlers from using saliva to shine the ball. ""This will help negate the advantage of not being able to use saliva. If you aren't able to shine the ball properly, you won't be able to cut air because of scientific reasons,"" he added."
29,sports,"Raina picks Rahane as best fielder in current Indian team, says 'His body can bend'",Anmol Sharma,"Batsman Suresh Raina has said that Ajinkya Rahane is the best fielder in the current Indian national cricket team. Raina added, ""Rahane has better catching skills. I always love his positions while fielding. He has a different kind of power. His body can bend when he moves, that is very different from the rest."""
30,sports,It would be difficult for me to play behind closed doors: Roger Federer,Anmol Sharma,"Twenty-time Grand Slam champion Roger Federer has said that it would be difficult for him to play major tournaments behind closed doors. He added, ""I can't imagine competing in an empty stadium, I don't succeed and I hope it will never happen."" He further said that at least a third of the stadium should be full."
31,sports,3-time Olympic gold medallist Balbir Singh Sr passes away aged 96,Anmol Sharma,Indian hockey legend Balbir Singh Sr passed away at the age of 96 on Monday morning. The three-time Olympic gold medallist was undergoing treatment at the Fortis Hospital in Mohali for over two weeks. He was in semi-comatose state since May 18. He holds the record for most goals scored by an individual in men’s hockey final at the Olympics.
32,sports,Saddened: Akshay condoles Hockey legend Balbir Singh Sr's demise,Vidushi Mishra,"Condoling the demise of Indian hockey legend Balbir Singh Sr, who passed away on Monday, Akshay Kumar took to Twitter to share a picture of himself with the late 96-year-old. ""Saddened to hear about [his] demise...[H]ad the good fortune of meeting him in...past, such an amazing personality!"" he wrote. Akshay's 'Gold' was loosely based on three-time Olympic gold medallist's life."
33,sports,Big salute to you: Dhawan on actor Sonu Sood helping migrants,Ankur Taliyan,"India opener Shikhar Dhawan on Monday took to Twitter to praise actor Sonu Sood for helping stranded migrants reach their homes. ""A big salute to you Sonu Sood for your heroic efforts,"" tweeted Dhawan. Sood recently arranged buses to send migrant workers to their homes in Uttar Pradesh, Bihar, Jharkhand and Karnataka. He has also distributed food to the poor. "
34,sports,Both IPL & T20 World Cup could be played by moving the dates: Plessis,Ankur Taliyan,"Ex-South Africa captain Faf du Plessis has said that both the 13th edition of the IPL and the T20 World Cup can be played if the former is shortened and the dates are moved. ""We can move the dates. The IPL is...looking to move...if...you have to move the World Cup by two or three months, so be it,"" he stated. "
35,sports,Ready with plan to send 25-man squad for Test series in England: CWI CEO,Ankur Taliyan,"Cricket West Indies (CWI) CEO Johnny Grave has revealed that they are ready with a plan to send a 25-man squad to England around June 8 for a three-match Test series to be played in July. ""The current plan we are working to has the three Tests starting on July 8, July 16 and July 24,"" he stated. "
36,sports,"Everyone wants to see T20 WC, should wait before taking any decision: Misbah",Ankur Taliyan,"Pakistan head coach and chief selector Misbah-ul-Haq said that authorities should ""wait"" before taking any decision on whether the T20 World Cup should go ahead in October-November. ""The logistics of hosting 16 teams is not easy...[but] everyone wants to see the T20 World Cup,"" he stated. There are media speculations that IPL might happen in place of T20 World Cup."
37,sports,Many things require discussion: Shakib Al Hasan on ICC guidelines,Ankur Taliyan,"On ICC's guidelines for the resumption of international cricket, banned Bangladesh all-rounder Shakib Al Hasan said that there are things that require discussion. ""We're hearing that [coronavirus] might spread around 12 feet...so does it mean the two batsmen can't meet at the end of the over?"" he said. ""Will the wicketkeeper stand afar? What would happen to infielders?"" he added. "
38,sports,Track and field athletes to commence outdoor training from Monday,Ankur Taliyan,"Track and field athletes based at NIS-Patiala, SAI Centre in Bengaluru and Ooty will start ""outdoor fitness"" training from Monday, said Athletics Federation of India (AFI) President Adille Sumariwalla. ""They will not have specific training as they were in their rooms for eight weeks,"" he added. As per the AFI SOP, handshakes, hugging, spitting and visits to salons are prohibited."
39,sports,I'll answer: Saleem Malik on PCB's Anti-Corruption Unit questionnaire,Ankur Taliyan,"Ex-Pakistan captain Saleem Malik, who was banned for life in 2000 for match-fixing, has said that he has received a letter from PCB's Anti-Corruption Unit and is ready to respond to the questions. Malik's ban was lifted by a sessions court in 2008, however, he's yet to get clearance from PCB and ICC to get back to cricket activities. "
40,sports,Kallis was technically very solid: Roach on toughest batsman he has bowled to,Ankur Taliyan,"West Indies fast bowler Kemar Roach, during an Instagram live session, named former South Africa all-rounder Jacques Kallis as the toughest batsman he has bowled to. ""Kallis was very technical very solid in his approach...he played it easily,"" stated Roach. Kallis is South Africa's all-time leading scorer in both Tests and ODIs having scored above 10,000 runs in both formats. "
41,sports,"Hard to look past Kohli's cover drive, he's best at the moment: Ian Bell",Ankur Taliyan,"Former England batsman Ian Bell, during a Facebook live session, revealed that he likes ""technical batsman"". He added, ""It's hard to look past Virat Kohli's cover drive in world cricket...he is probably the best at the moment."" Bell played 118 Tests for England, scoring 7,727 runs which included 22 centuries and a double hundred. "
42,sports,"When I first went into IPL auction, I did not get picked up: David Miller",Ankur Taliyan,"Recalling his IPL stint with Kings XI Punjab, David Miller revealed that he was not picked when he first went into the auction. ""Ten days [after the auction], I got a call from KXIP...that's where it all started,"" he said. ""Adam Gilchrist was captain...we had a lot of greats in our side...so it was a dream for me,"" he added.  "
43,sports,Facing Bumrah is a challenge that I want to take on: Pak's Shan Masood,Ankur Taliyan,"During an online interview, Pakistan batsman Shan Masood said that he has never played against Jasprit Bumrah and the India pacer is a ""challenge"" that he wants to take on. On being asked to pick the toughest bowlers he has faced so far, Masood named Australia fast bowler Pat Cummins. Bumrah is second in ICC ODI rankings for bowlers. "
44,sports,"If I'm asked to take on SA Test captaincy, it'd mean a lot: Dean Elgar",Ankur Taliyan,"South Africa batsman Dean Elgar said that if he's asked to take on their Test side captaincy, it would ""mean a lot"" to him. ""It's definitely not easy being a Test captain but I think leadership comes extremely naturally to me,"" he stated. Earlier, his teammate Aiden Markram had expressed the desire to be appointed SA Test captain. "
45,sports,PCB set to appoint Saqlain Mushtaq as coach at High Performance Centre,Ankur Taliyan,"The Pakistan Cricket Board (PCB) is reportedly set to appoint former spinner Saqlain Mushtaq as coach for international players at the National High Performance Centre in Lahore. Saqlain, who picked 208 wickets in 49 Tests and 288 wickets in 169 ODIs, has previous experience of having been with the England, West Indies and New Zealand teams as spin bowling coach/consultant. "
46,sports,A grateful State bids you farewell: Punjab CM Amarinder condoles Balbir Sr's demise,Ankur Taliyan,"Condoling the demise of Hockey legend Balbir Singh Sr, Punjab Chief Minister Amarinder Singh said, ""Balbir Sr exemplified qualities of perseverance, dedication & sportsmanship."" ""Sir, you will be dearly missed & will forever remain an inspiration! A grateful State bids you farewell,"" Amarinder added. Balbir Sr was in semi-comatose state since May 18. "
47,sports,"Babar very close to being in same class as Kohli, Smith, Root: Misbah",Ankur Taliyan,"Pakistan head coach and chief selector Misbah-ul-Haq has stated that Pakistan limited-overs captain Babar Azam is ""very close"" to being in the same class as Virat Kohli, Steve Smith and Joe Root. ""Babar just doesn't want to be in the team, he wants to be the top performer for Pakistan...in time he'll get better as captain with experience,"" Misbah added. "
48,sports,"If there was a hockey legend after Dhyan Chand, it was Balbir Sr: Milkha Singh",Ankur Taliyan,"On the demise of former hockey player Balbir Singh Sr, ex-Indian sprinter Milkha Singh said that if there was a hockey legend after Dhyan Chand, it was Balbir Sr. ""I had a very close association with him,"" revealed Olympian Milkha. ""We did not have facilities but we worked hard and made our country proud,"" he added. "
49,sports,Pakistan's ICC rankings across formats not acceptable: Babar Azam,Ankur Taliyan,"Pakistan limited-overs captain Babar Azam has said that the team's current standings in the ICC rankings across formats are ""unacceptable"". ""We will try our best to improve that [rankings]...we also need to focus on making a good team rather than just relying on individuals,"" he stated. Pakistan are currently placed seventh in Tests, sixth in ODIs and fourth in T20Is."
50,technology,Ex-NASA engineer builds obstacle course to keep squirrels away from bird feeders,Dharna,"Former NASA and Apple engineer Mark Rober built an elaborate obstacle course, attempting to keep squirrels away from feeders meant for birds. It included a ladder bridge, trap door, maze and a catapult, with the feeder at the end. However, the squirrels found a way to dodge obstacles by jumping over them, managing to finish the course within 40 seconds."
51,technology,Israel limits COVID-19 phone tracking to 'special cases' after privacy concerns,Dharna,"The Israeli cabinet on Sunday restricted the involvement of its internal security service 'Shin Bet' in the cellphone-tracking of people infected by the coronavirus. It said the measure would be used in ""special cases"" if an infected person's location can't be ascertained using ""other methods"". The technology, originally deployed to tackle terrorism, had been challenged by privacy watchdog groups."
52,technology,Aarogya Setu doesn't give out loud siren near COVID-19 patients: Govt,Aishwarya,The government has clarified that its Aarogya Setu app doesn't give out a loud siren when a COVID-19 patient approaches a user. It added that Aarogya Setu does not have an in-built siren but it gives out alerts. The coronavirus contact-tracing app Aarogya Setu had crossed 10 crore registered users in 41 days. 
53,technology,"CBSE warns against revenge porn, advises limit on online friendships for cyber safety",Pragya Swastik,"The CBSE published a cyber safety booklet for students from Class 9 to 12, where it warned against revenge porn and advised students to limit online friendships. ""Teenagers in age-group of 14-18 years are the worst victims of revenge porn,"" the booklet said. It also asked students to set a limit on what they share with online and real-life friends."
54,technology,"Musk, Grimes change their baby's name from 'X Æ A-12' to 'X Æ A-Xii'",Dharna,"Elon Musk and Grimes have changed the official name of their baby from ""X Æ A-12"" to ""X Æ A-Xii"", the 32-year-old singer revealed. This comes after reports said that Californian laws prohibit Indo-Arabic numerals in names. Replying to comments on her Instagram post, Grimes further wrote, ""Roman numerals. Looks better, to be honest. One dash is allowed."""
55,technology,Elon Musk says idea of self-sustaining city on Mars is currently too expensive,Dharna,"SpaceX CEO Elon Musk has said that the goal to have a self-sustaining city on Mars is currently far too expensive. He tweeted, ""We need to accelerate progress towards fully reusable rockets."" Musk further said the cost per ton for SpaceX's reusable rocket Falcon needs to come down by 1,000% from what it currently is to make the idea possible."
56,technology,"Hackers release iPhone 'jailbreak', say it works on iOS 13.5 released 4 days ago",Dharna,"A team of hackers has released a ""jailbreak tool"", which it claims can unlock any iPhone running iOS 11 and above. Without disclosing the vulnerability it exploited, ""unc0ver"" claimed the tool works even for iOS 13.5, which was released only four days ago. Recently, reports claimed hackers have had access to an early iOS 14 version since ""at least February""."
57,technology,Alibaba shares fall 6% on slow revenue growth wiping $1.5B from Jack Ma's wealth,Dharna,"The New York-traded shares of Alibaba on Friday fell nearly 6% to $199.70 after the Chinese e-commerce company projected its revenue growth to slow down this year. This wiped off over $1.5 billion from the estimated wealth of its Co-founder Jack Ma. Although Alibaba posted a 22% rise in March-quarter revenue, this was its slowest pace of expansion on record."
58,technology,Data of 2.9 crore Indian job seekers leaked on dark web: Cyble,Nandini Sinha,"Personal data of 2.9 crore Indian job seekers has been leaked on the dark web for free, cybersecurity intelligence firm Cyble said. It includes details about job seekers' education, address, etc, Cyble said in a blog post. ""The original leak appears to be from a resume aggregator service collecting data from various known job portals,"" Cyble added."
59,technology,"Jeff Bezos, Zuckerberg highest-earning billionaires in US amid lockdown",Pragya Swastik,"Amazon CEO Jeff Bezos and Facebook CEO Mark Zuckerberg were the highest-earning billionaires since US lockdown began from March 18 till May 19, according to a report by the Americans for Tax Fairness citing Forbes data. The wealth of the two billionaires grew by $60 billion during the period. The wealth of over 600 US billionaires jumped by $434 billion."
60,technology,Zoom to forcibly install its 5.0 update with encryption after May 30,Dharna,"Video conferencing platform Zoom said that after May 30, it will forcibly install the 5.0 update for all its clients using older versions when they try to join meetings. The GCM encryption would be fully enabled across the platform, making meetings more secure. The update was released last month after security and privacy concerns like ""Zoombombing"" were raised by users."
61,technology,Mumbai Police to hold group admins liable for misinformation on social media,Anushka Dixit,"The Mumbai Police has issued an advisory warning social media users against the spread of COVID-19 related misinformation online, adding that group admins will be held liable if it happens. The order came into force today and will stay in effect until June 8. The lawbreaker will be booked under section 188 of IPC for disobedience to the official order. "
62,technology,Amazon not cooperating over COVID-19 cases at Wisconsin campus: US Officials,Aishwarya,"Health officials in Wisconsin, US, have said that they've ""struggled"" to receive coordinated cooperation from Amazon regarding the handling of COVID-19 cases at a campus in Kenosha county. Amazon hasn't fully cooperated with officials trying to track cases, they added. Officials further said that they would consider attempting to shut down Amazon's Kenosha facilities if it didn't cooperate."
63,technology,600% increase in malicious emails during COVID-19: UN official,Aishwarya,"Izumi Nakamitsu, UN disarmament chief, said there has been a 600% increase in malicious emails during COVID-19. She added that nearly 90 countries were still in the early stages of making commitments to cybersecurity. She also said growing digital dependency has increased vulnerability to cyberattacks. The threat from misusing information and communications technology is ""urgent"", Nakamitsu said. "
64,technology,Google Messages working on end-to-end encryption for RCS texts: Report,Anushka Dixit,"Google is working on adding end-to-end encryption on Rich Communication Service (RCS) conversations in Google Messages, reports said. Both sender and receiver may need to use Google Messages app and have a strong internet connection otherwise the text would go as an SMS. RCS is considered a successor to SMS and MMS and has features similar to other texting services. "
65,technology,We're 'go' for launch next week: NASA on crewed mission with SpaceX,Aishwarya,"Talking about NASA's crewed mission with SpaceX, NASA Associate Administrator Steve Jurczyk has said they are ""go for launch"" next week. NASA astronauts Robert Behnken and Douglas Hurley will be flying in SpaceX's Crew Dragon to the International Space Station on May 27. This will be the first crewed flight to launch from the US since 2011."
66,technology,US-based tech firm Box to let staff work remotely till Jan 2021,Aishwarya,"Cloud storage provider Box CEO Aaron Levie has said that the company will let its employees work from ""anywhere"" through January 31, 2021 even when its offices reopen. However, he added that since many people prefer working from office the California-based firm's work setting would be a ""hybrid"" one. Box's all future weekly all-hands meetings will remain fully virtual."
67,technology,Apple begins mass production of its over-ear headphones: Reports ,Anushka Dixit,"Apple has started mass producing its over-the-ear headphones reportedly called 'AirPods Studio', expected to be launched later this year, reports said. The noise-canceling headphones are likely to be ready to ship in a matter of weeks. The headphones may cost about $349 (approximately ₹26,465) and come in different designs including premium leather and breathable fabrics suitable for exercise."
68,technology,Stanford uses AI & satellite images to track poverty levels in Africa,Aishwarya,"Stanford University researchers combined artificial intelligence and satellite images to track levels of poverty in Africa over time. Their tool searched for signs of development like roads, housing structures, waterways and lights turned on at night. Researchers tested the tool's accuracy for about 20,000 African villages that had existing asset wealth data from surveys, dating back to 2009."
69,technology,Apple working on 'Steve Jobs Heritage Edition' AR glasses: Report,Aishwarya,"Apple is working on a ""Steve Jobs Heritage Edition"" of AR glasses, tech analyst Jon Prosser told Cult of Mac. The glasses would resemble Steve Jobs' spectacles and would be round. Apple would position it as a special edition of the core AR glasses, much like the original $10,000 gold Apple Watch, the report added."
70,technology,US tech executives sold company stock worth over $3.6 bn in May,Anushka Dixit,"Executives from US tech companies have collectively sold company shares worth $3.6 billion in May alone, as per SEC filings. Mastercard CEO Ajay Banga sold company shares worth $23.4 million while Netflix CEO Reed Hastings sold over 50,000 shares for $23.9 million. Maximum shares were sold by shareholder of solar energy company Enphase Energy, selling 13,548,476 shares for $819.6 million. "
71,technology,Xiaomi patents clamshell folding smartphone with rotating cameras,Anushka Dixit,"Xiaomi has patented a foldable smartphone with a clamshell display and rotating quad-cameras on the upper half bar, CNIPA filings showed. The images show a flexible screen with no notches that folds inwards, to help protect the display. The patent also indicates that Xiaomi might have used a hide-away hinge similar to the one in Samsung Galaxy Z Flip."
72,technology,UK may eliminate Huawei equipment from its 5G networks by 2023: Reports,Anushka Dixit,"The UK government is reportedly looking to gradually eliminate Huawei's involvement in its 5G networks by 2023 due to security concerns. Huawei's VP Victor Zhang told Financial Times that the reports ""simply don't make sense"" and UK chose Huawei to provide ""best possible technologies"". PM Boris Johnson had capped Huawei's market share in UK's telecommunications infrastructure at 35% earlier."
73,technology,Open to work with Apple on other projects: Google CEO Sundar Pichai,Anushka Dixit,"Google CEO Sundar Pichai said that he's open to collaborating with Apple on future projects. ""Large companies working together in service of society is really good for the world. I am committed to finding other opportunities and I had the same sense from Tim on this,"" he said. Apple and Google recently collaborated to create a COVID-19 contact tracing system. "
74,entertainment,"Karan Johar confirms 2 house helps tested COVID-19 +ve, says he tested -ve",Daisy Mowke,"Filmmaker Karan Johar took to social media on Monday to announce that two members of his household staff have tested positive for coronavirus. ""The BMC was informed immediately, and the building has been fumigated and sterilised by them as per the norms,"" he wrote. Johar added that he and his family members took swab tests and have tested negative. "
75,entertainment,Complaint against Anushka over dialogue 'insulting' Nepali people in Paatal Lok,Daisy Mowke,"A complaint has been filed against Anushka Sharma's production 'Paatal Lok' with the National Human Rights Commission (NHRC) for a dialogue that is allegedly 'insulting' to Nepali people. The complaint has been filed by All Arunachal Pradesh Gorkha Youth Welfare Association. Earlier this week, advocate Viren Sri Gurung had sent a legal notice to Anushka."
76,entertainment,"Photographer told Salman to just 'catch and smooch' me, he refused: Bhagyashree",Daisy Mowke,"Actress Bhagyashree has revealed that during a photoshoot for 'Maine Pyar Kiya', a ""popular photographer"", who is no more, wanted to take ""not-so-complimentary photographs"" of her and Salman. She added she overheard him telling Salman, ""When I set up camera...you just catch and smooch her."" ""Then...I heard Salman say, 'I'm not going to do anything of that sort',"" said Bhagyashree."
77,entertainment,BJP MLA files complaint against Anushka over morphed pic with Yogi in Paatal Lok,Daisy Mowke,"BJP MLA from Uttar Pradesh, Nandkishor Gurjar, has filed a complaint against Anushka Sharma for using a morphed picture of him with CM Yogi Adityanath in 'Paatal Lok' without his permission. The photo, which has been morphed to include the show's  characters, also includes Gurjar. The scene shows 'Balkrishna Bajpayee', one of the antagonists, inaugurating a highway in the picture."
78,entertainment,Vir Das' neighbour 'sneezes' at him after accusing him of violating social distancing,Daisy Mowke,"Comedian Vir Das shared a video of his elderly neighbour 'sneezing' at him and threatening to slap him, after accusing him of not following social distancing. ""I was giving my friend...who lives three houses down...some dinner. We were waiting for it to get cooked 15 feet...from each other,"" he wrote. Vir further wrote the man isn't his landlord."
79,entertainment,Can help you get back home from there: Sonu to man asking help to reach liquor shop,Daisy Mowke,"Sonu Sood has responded to a man who asked him for help to reach a liquor shop. ""I'm stuck in my house. Help me reach a liquor shop,"" the user tweeted. Sonu replied, ""I can help you return home from there. Let me know if you need that."" The actor has helped around 12,000 migrant labourers reach home amid lockdown."
80,entertainment,It's 1st time in 27yrs we won't be celebrating: Manish on Karan's b'day,Vidushi Mishra,"Celebrities including Kajol, Anushka Sharma and Manish Malhotra on Monday took to Instagram to wish Karan Johar a happy 48th birthday. Posting pictures of himself with Karan, Manish wrote, ""This is the first time in...27 years that we've been friends [that] we all won't be with you celebrating."" ""But there in spirit and with all our wishes,"" he added."
