,title,content
22,How I Became a Software Developer with Codeup,"We spoke with one of our talented Alumni, Alex Ahrens, who just recently graduated with our Ceres web development cohort. Alex shed some light on his Codeup and coding experience, and we’re sharing his story in hopes that it helps others take one step closer to landing the career of their dreams. Let’s start with you introducing yourself; where are you from, and what was your background before Codeup?“My name is Alex, I’m not from San Antonio but have lived here on and off for most of my life. I have had a lot of random odd jobs before going to Codeup, everything from customer service, to logging, to a cruise ship deckhand, to bartender.”What made you interested in coding? And what made you decide to pull the trigger and look for ways to make it your career?“I was in Military Intelligence in the Army, and when I transitioned out, I decided to stay in intel and went to UTSA to get a CS degree to be in Cyber Security.”How did you end up coming to Codeup?“I was bottlenecked in my degree plan (required to take a few prerequisite classes before I could proceed with my degree) at UTSA and decided that I didn’t want to spend another three semesters trying to get passed those classes. Codeup cut that time significantly for a very similar outcome at a cheaper price, so that’s what I chose.”What has your experience been like here?“Very challenging, but rewarding as well. My classmates were always there for each other when we needed help and generally went out of our way to help. That along with the enormous amount of knowledge made it a difficult but enjoyable experience.”What would you tell people considering a career in software development?“Practice. Without consistent practice, it is beyond difficult to learn and just as hard to retain. Keep programming even when you don’t need to. Learning doesn’t stop when class is over or when you’re graduated. You have to constantly stick with it.” __________________________________________________________________________________________________________________________________________________   Alex Ahrens is a software developer in San Antonio, TX. __________________________________________________________________________________________________________________________________________________Are you ready to explore the world of tech and the possibilities of a new career? Then make sure to sign up for some of our free events in our events tab, and get hands-on experience with us!  "
23,Why I Chose to Teach at Codeup,"Hi, my name is Douglas Hirsh, and I’m a Web Development Instructor at Codeup Dallas! I’m passionate about technology, software, human behavior, and teaching. As we prepare to launch our first cohort in Dallas, I want to share why I decided to teach at Codeup. Quick about me: I’m a self-taught developer! I have enjoyed an 18 year career in tech, during which I’ve worked at companies ranging from small startups to Fortune 50 and made my way up through the ranks to Senior Developer. I’ve also worked as an instructor at another coding bootcamp and a CTO of a local startup.  How did I hear about Codeup? I saw them post on Slack! I was excited about the idea of returning to teaching, and reached out. We began talking, and I spent over a dozen hours getting to know their team, from management to instruction. During our conversations, I made up my mind: I wanted to work for Codeup. Here’s why! #1: Codeup has a well-thought-out and high-quality curriculum. Not only that, but it teaches programming fundamentals. Some bootcamps teach programs that cover a dozen different technologies: React, Angular, Node, Ruby, Rails, Mongo DB, MySQL, Python, etc. As a developer, I can tell you: that’s crazy. Instead of a list of keywords, I discovered Codeup teaches a narrow scope of technologies with a focus on teaching students how to learn software development, giving them the power to go learn whatever technologies they want. #2: Codeup promises, and follows through, to refund 100% of a student’s tuition if they don’t find a job after graduation. A lot of places say, ‘Hey come on over, we’ll help!’ I knew Codeup was for real and not just a money grab when they told me: “if a student does everything they’re supposed to and doesn’t find a job, that’s on us, not them.” #3: Codeup has an impressive network of employer partners. They place graduates at companies like USAA, Accenture, Oracle, SWBC, and other large companies with a reputation. Having worked at a bootcamp, I know exactly how hard it is to get a company like USAA to consider bootcamp grads. That upped their cred in my book WAY high. #4: Codeup accepts the GI Bill. In my eyes, the government legitimized them with their stamp of approval. Lastly, and most importantly, Codeup helped me realize my passion of helping bring other people into this amazing field. If you want to learn to code or start a new career, reach out to us – we’d love for you to decide to learn at Codeup."
24,HOW A YEAR OF LIFE CHANGE LEAD ME TO CODEUP,"This time last year I was a college student majoring in Kinesiology and decided to take a step down from management roles to focus on school. I didn’t have any major goals or expected to make any life-changing decisions, then I lost my best friend, my mentor in life.Tito Bradshaw lived life to the fullest and was a leader in the cycling community. This death kickstarted me onto a path to change my life and do more than I ever thought I was capable of. Like Tito, I decided to go on an adventure and explore New York, push my body past its limits in strength and endurance and somehow I ended up in the right place at the right time and met some people from Codeup.I always thought I would just be in sales my entire life and have an uneventful life, this year I have done more than I could have ever imagined. Conversations went from “Look how much I sold!” to “Look what I programmed!!!”.I am so humbled to end this year not as “Eddy the Sales guy” but as a Software Developer! I’m excited to land my first dev role, explore new city’s and most importantly give back to my community. I know if Tito was here he would be proud.____________________________________________________________________________________________________________________________________________________Eddy Bautista is a Full Stack Web Development Alumni, follow him on Linkedin to hear more about his journey! "
25,Codeup Talks Expanding Its Coding School To All Of Texas,"Photo Taken In Chon Buri, ThailandBy Jeannette E. Garcia  – Reporter, San Antonio Business Journal"
26,Why Codeup is Bringing Its Software Bootcamp to North Texas,"By Kevin Cummings,  NTX Inno Staff Writer (Dallas Business Journal)—Started in 2013, San Antonio-based Codeup has been making a name for itself and helping bolster Texas’ tech and startup scene by training the next group of software developers. Now, after honing its curriculum and strengthening its ties across the state, Codeup is ready to open its second campus in Dallas.Near the end of November, with the greenlight from the Texas Workforce Commission, the company began accepting applications for its first North Texas cohort that will begin in downtown Dallas in early 2020. It plans to have about 3 cohorts go through its 20-week program, graduating between 50 to 75 people next year.“It seems to make good sense that we should be here; the number of jobs is more than the number of people that can do them and that’s what makes it such a great opportunity right now,” Jason Straughan, CEO and co-founder of Codeup, told NTX Inno. “We want to make sure that we are getting the people that come through our classes jobs, we want our Dallas cohorts to have the same or better employment rates than they do in San Antonio.”What started in the corner of a coworking space in San Antonio, with people walking in and out of the space while trying to teach the class, has quickly become a well-recognized organizations for helping people transition into coding and data careers. It started with a problem Straughan and his fellow co-founders noticed in the industry. Applicants would come in for interviews at their respective companies with a wealth of knowledge about theory, but when it came to practicality and implementation, they seemed to be lacking.“We were talking about how college is teaching people to be computer scientists like you would teach an astronomer how a telescope works,” Straughan said.So Codeup was launched with a simple premise – teach software development like you would teach a skilled trade, with immersive learning. Over the course of the company’s 20-week program, students start coding on day one. The classes go from 9 a.m. to 5 p.m. and by the end of it, students log about 630 classroom hours of direct experience.“It’s day one you start writing code,” Straughan said. “How do you learn German? You speak it. How do you learn to code? It’s fingers on keyboards, and so that’s what we do.”Codeup distinguishes itself from the numerous other similar programs out there in that it is outcome-driven, rather than profit-motivated. The co-founders of the organization are all involved in the tech industry outside of Codeup, allowing them to focus more on the curriculum than a business plan. Straughan said that in the beginning, instead of thinking about what students want to learn, Codeup went directly to the companies that would be hiring graduates and asked what skills were needed.This has given Codeup a high job placement rate for its graduates, with more than 98 percent of alumni finding jobs in the industry. Codeup stands by its program, offering graduates a complete refund if they are unable to find a software-related job within six months.“Now that we are growing, we’re trying to do it slow to make sure that we maintain that kind of quality on the output, because we think that’s the long-term goal,” Straughan said. “We think it’s actually the most responsible way to deliver and education product.”Straughan credits Codeup’s 28-member team with the success of the company. The connections made from previous graduates has, in part, driven Codeup’s expansion to Dallas. In the past year, the organization has placed 17 graduates in the North Texas area with large companies like USAA and Cognizant. In addition, he said that the growth of the tech industry in the region has made it attractive not only for its relatively high tech salaries, but also because of the number of job openings.When it opens next year in Dallas, Codeup will also focus on helping drive diversity and inclusion in the local tech workforce. The company strives to have cohorts that represent the larger demographics of the region. It also offers scholarships for disadvantaged and minority residents looking to apply. Straughan said that it is something the tech industry should be talking about more, because the software that is being developed is used by all types of people, and those people should be represented at the development of the software as well.“I think one of the other things we really enjoy about Codeup is when I entered software development, almost everybody in that career looked like me – they were all white dudes that liked to play with computers… the industry is changing and it is becoming more diverse, and I think we have an opportunity to help kickstart that and speed up that process,” he said. “I realized that the impact we are making is really a cool experience, it’s moving to me, it really is a purpose.”"
27,How I Paid $43 For My Codeup Tuition,"By Jesse RuizBootcamps or career accelerator programs are short term education programs designed to help you learn new skills and find a job. If you are thinking about attending one, I will share some tips about finding a bootcamp, my story about how I chose to attend Codeup in San Antonio, TX and how I got funding to attend.My first tip is to spend at least a few months to a year researching the topic you want to study and the bootcamps available. There are tons of resources online to learn programming. I will provide a detailed table below of the courses I took, most of which are free. While you are learning the basics, start to learn about the bootcamps that teach this subject, read through bootcamp curriculum, take notes on tuition costs and start dates and note whether or not they provide scholarships. This first step is crucial for figuring out if this topic is something you are genuinely interested in.Secondly, when you start researching bootcamps, you will find that cost of tuition can be high. The best strategy is to look simultaneously look for funding and bootcamps. First look locally and seek out local and federal grants to attend based on being under-employed, unemployed or under-represented in the field (minorities). I was only able to find funding because I met with a local career training program which enabled me to access local and Department of Labor funds. If you don’t meet the criteria of being being under-employed, unemployed or under-represented in the field, then don’t worry! There are still other scholarships and loans out there.Warning!—only start to contact/call up the bootcamps when you are comfortable with your basic skills in programming (or whatever you are trying to learn) and when you are committed to attending. Bootcamp admissions will aggressively seek you out. They want you to attend their courses. You should have clear intentions about what you want to do, how much money you want to spend, and how good you are at programming. Just be honest with the people you speak to about your circumstances. This is a process so take your time. Often, if you get rejected from a bootcamp, you can still re-apply later.Lastly, there are almost always loan companies that specialize in loan for students of bootcamps. If the cost of tuition is still prohibitive, you can consider loans as your last option. In most cases, these loans can be repaid easily with the job you will (hopefully, most likely) get after you graduate. Some bootcamps offer refunds if you don’t get a job (with conditions) and others offer deferred tuition where you don’t pay anything until you get your first job.As for my experience, I learned about Data Science online and spent 10 months researching the subject and bootcamps. I took a slew of courses online to learn the basics, which I will share below. Then I started to apply to bootcamps. Ultimately, I was able to find Codeup in my hometown. I visited their campus and spoke with their admissions representative about funding. I loved that this school was in my hometown, so it was a practical choice for a full-time program. I also liked the instructors and admissions people that I met. The admissions person told me about their funding options and sent me to a local career training program, which informed me about local and federal grants that were not easily accessible online. Working with this local program was long and uncertain but I stuck with it. The real reasons I was able to get funding through them were because I had been under-employed for years, I had used up all my savings, I was living at home with family and I was unemployed at the time that I applied for the funding. In the end, I chose Codeup because I was able to find funding, it was in my hometown and I genuinely liked the people I met there, especially Maggie Giust, the Senior Data Scientist.I will share a table of the exact funding amounts that I got below. This will probably not be the norm. I got extremely lucky with my funding.All in all, this whole process is precarious, scary and hard. You should give yourself plenty of time to research and learn about the process, the bootcamps and the subject you are trying to study.If you need any advice, please feel free to contact me directly. And if this was helpful please send it along to anyone you think would benefit from it.List of resources for researching bootcampshttps://www.switchup.org/https://www.coursereport.com/best-coding-bootcampsList of the Courses I Took (In order that I took them)Name of CourseNotesDifficulty/My Critique & ExperienceLink to course1. Data Science & Analytics Career Paths & Certifications: First Steps with Jungwoo Ryoo**Requires sign in. By pass by using local library access or your university’s access, i.e. “Sign in with your organization’s portal”EasyLynda.com (search title after you sign in)2.Statistics Foundations with Eddie DavilaSame as aboveEasy/MediumLynda.com (search title after you sign in)3. Excel 2016 Essential Training with Dennis TaylorSame as aboveEasy, Run through videos at 2X speedLynda.com (search title after you sign in)4. A Gentle Introduction to Programming Using PythonUtilized Python 2. Required setting up Python environment on your computer.Medium, Very fast paced. Not a good idea to learn Python 2. Stopped course halfwayMIT 6.189 OCW5. Learning Path: Becoming a User Experience DesignerThis is a group of courses meant to teach UX. **Requires sign in. By pass by using local library access or your university’s access, i.e. “Sign in with your organization’s portal”Medium. Mostly lectures.Lynda.com (search title after you sign in)6. Python TutorialTook a couple of days to complete. Sign up for free; doesn’t require setting up an environment on your computerEasiest, short exercises.Mode Analytics7. Learn Python 2Sign up for free; lots of exercises; doesn’t require setting up an environment on your computer.Easy/Medium; took about a week to completeCodecademy Python8. Data Structures FundamentalsEnroll for free on EdX, self-pacedMedium/Hard; Didn’t understand most of it; stopped halfway.EdX UCSD Data Structures Fundamentals9. Introduction to Algorithms MITXEnroll for free. Video lectures and HW assignmentsHard. Stopped after 5 lectures.MIT 6.006 OCW10. Statistics and Probability Khan AcademyJoin for free. Very robust website with quizzes and video lectures.Easy/Medium; Spent about 4 weeks on it, slowly. One of my fav. sites.Khan Academy Stats and Prob11. Linear Algebra Khan AcademyJoin for free. Very robust website with quizzes and video lectures.Easy/Medium; Spent about 2 weeks on it, slowly.Khan Academy Linear Algebra12. Introduction to JavaScript: Drawing and AnimationJoin for free. Very robust website with quizzes and video lectures.Easy/Medium; Spent about 2 weeks on it, slowly.Khan Academy Intro To JS13. Data Science Math Skills, Duke UniversityJoin for free. Audit courses for free. Some times you can get stuck when they ask you to pay in order to submit quizzes. If this happens to you, just skip the quizzes or sign up for a “free trial” and cancel before you are charged.Easy, work through exercises slowly. Spent about 1 week on it.Coursera, Data Science Math Skills, Duke U14. Linear Algebra for Machine Learning, Imperial College LondonSame as aboveEasy/Medium; Spent about 2 weeks on it. Didn’t learn the page rank assignment because of the pay wall.Coursera, Linear Algebra for Machine Learning, Imperial College London15. Basic Statistics, University of AmsterdamSame as aboveEasy/Medium; Spent about 2 weeks on it. Made a new account so that I could get a ‘free trial’ to submit quizzes. Slowly did all work.Coursera, Basic Statistics, University of AmsterdamOther courses I dabbled in and other resources:Basic HTML and HTML5 and CSS, FreeCodeCamp.orgThe Open Source Data Science Masters, Created by Clare Corthell, http://datasciencemasters.org/List of 5-Day Data Challenges, Kaggle, https://www.kaggle.com/rtatman/list-of-5-day-challenges/Siraj Raval, How-To Videos and Curriculum on Github and Youtube, https://github.com/llSourcell/Learn_Data_Science_in_3_MonthsCodeup is proud to offer a variety of scholarships, grant and loan partners. To find out more information, visit our Financial Aid. Jesse Ruiz is a data scientist, designer, and artist. She was born in Seoul, South Korea and raised in Texas. She has degrees in philosophy and art from Barnard College and the University of Wisconsin – Madison and received training in data science at Codeup in San Antonio, TX.Connect with her on Linkedin or read more of her work here.  "
28,Codeup Dallas Now Taking Applications,"It’s official! Codeup has been approved by the Texas Workforce Commission to open in Dallas! We are super excited to share this news with you as this will be our second location from our current home in San Antonio.With this great news, we also what to let you know our applications are open! At our Dallas location, we will be offering our Full Stack Web Development program come 2020. After five years exclusively focused on San Antonio, we chose to expand because the bootcamp model has grown. We’ve watched our competitors expand nationally, open dozens of campuses, buy and sell to and from each other, launch coworking spaces, and more. Meanwhile, we believe the outcomes of our graduates far outweigh the number of campuses we have. Why are we offering a Full Stack Web Development program? Codeup wants to serve the tech gap currently existing in Dallas and launch a proper campus for our future students. Outcomes have always been our biggest motivator and we want to make sure we continue with that in mind. Codeup’s conversations with employer partners in the area have helped us understand what offerings best suit the tech job market in the area.Learn more about our Full Stack Web Development curriculum and how to apply for a 2020 class!"
29,A Quest Through Codeup,"Codeup isn’t a cheap program – we know that. As one of the longest accelerators in the country, we recognize that cost is a concern for many prospective students. That’s why this week we are excited to highlight one of our long-standing financial aid partners – Project QUEST – to show you how many pathways are available. First of all, we view your tuition as an investment in your future, and we put our best people, ideas, and efforts to make that investment fruitful. But we also want to make that investment more accessible by providing as many financial pathways as possible for tuition funding. As we approach their annual fundraising luncheon this week, we want to highlight Project QUEST as one of the most effective such pathways you can explore.“The experience of attending Codeup has radically altered my life. Now, instead of financially treading water in a service industry job with a college degree that felt wasted, I have a fulfilling professional career with exciting possibilities for in-field advancement.” – Matthew CapperProject QUEST is a San Antonio based non-profit dedicated to workforce development and building our city’s future economy. They provide grant funding for educational and training programs, as well as career coaching and support resources (like utilities, childcare, and transportation). Over the last 4 years, Project QUEST and Codeup have collaborated to help dozens of students change careers.“Assistance from Project QUEST was invaluable and empowering. They offer incredible support for career training.” – Jesse RuizIn 2019 alone, Project QUEST has helped Codeup train 23 Software Developers and Data Scientists. Those students received grant funding (i.e. free money) anywhere from $2,000 to a full tuition ride, allowing them to fully focus on their education. Our combined efforts help empower life change, resulting in a 92% completion rate and a 95% employment rate of students receiving Project QUEST funding. And when we say life change, we mean it. The average starting salary leaving our program for Project QUEST participants this year was $59,000! That’s the salary floor, and there’s no ceiling. Considering that many of Project QUEST’s participants come from backgrounds of under or unemployment, these are generationally impactful numbers.“QUEST’s help compounded this opportunity by giving me enough fiscal assistance that I am now on more secure financial footing than I have been in my entire adult life.” – Matthew CapperIf you’re excited about Project QUEST’s impact on individuals and communities, support their work by donating here! If you’re considering a career change, reach out to us at info@codeup.com and we’ll help support your quest for a better future."
30,Quickpath: Solving the Data Science Talent Shortage with Codeup,"After the graduation of our first Codeup Data Science cohort, one company was eagerly waiting in the wings to scoop up a lot of our new grads: Quickpath. In business since 2004, Quickpath has helped deliver amazing customer experiences and optimize business decisions in over a hundred implementations for Fortune 500 and Fortune 1,000 companies. But as the demand for their services increased—more than doubling each of the past three years—Quickpath found itself in a talent shortage. “We found ourselves leaving business on the table where customers were asking us for additional resources,” Alex Fly, CEO of Quickpath and board member of the Codeup Data Science program, said, “and we weren’t able to fill that request.”Fortunately, the Codeup Data Science curriculum was able to provide a much-needed pipeline of highly skilled individuals. Over the course of an intense 20-week, hands-on program, students learn a variety of data science tools and skills, including statistics, SQL, Python and regression analysis. This intense preparation, culminating in mastery with a capstone project, is what led Fly to hire not one, but three of our Codeup grads from the inaugural Data Science cohort.Codeup Data Science Grads Making an Immediate ImpactQuickpath is a company that plays data science as a team sport—they really help their clients with all operations around data rather than simply creating a model. This means that Quickpath helps their clients in all the following areas: Building the data pipeline—they first assist clients in gathering and wrangling their corporate data from disparate sources.Cleaning the data—after the data sources are identified, it’s important to ensure the data is clean and provides the right information for the model.Creating the data model—after accumulating all that information, it’s time for the data scientist to put it to use, building a model that will help inform decisions.Monitoring and managing the model’s outputs—once the data model is integrated into production, it needs to be validated to ensure it’s performing correctly, and the insights must be clearly understood by those consuming them. Quickpath hired the three Codeup grads as data and machine learning (ML) engineers to work on tasks that come both before and after data model creation. And while you may think of a data science professional as being tucked away in a room doing analysis, this role at Quickpath is very customer-facing, and within a week of being hired, the Codeup grads were already interacting with a number of Quickpath customers.While such a short runway to customer interaction may evoke some nervousness in a new college graduate, the new Codeup hires were able to tap into their previous professional experience and jump right in.Leveraging Previous Experiences for a Data Science RoleFly credits the immediate success of the new Codeup grads to their previous professional experience. While they may not have been in a data science role, these Codeup hires had worked in a corporate environment for years, often using data and analytic skills. One individual, in particular, had been on the receiving end of information from a data science model. In their previous position as an analyst in fraud detection, they would receive data model outputs in order to assess whether transactions were fraudulent. After completing the Codeup Data Science program, this person now sits on the other side of the fence and has the ability to wrangle the data, develop a model and evaluate its success. His professional experience is what sets him apart: he keenly understands how front-line employees will interact with the data that he provides. Fly believes it’s this kind of professional experience that empowers Codeup graduates to hit the ground running. But there’s something more than just previous professional experience. It’s also the sense that Codeup graduates are intrinsically motivated to make a major career change. As our first 2019 Data Science outcomes report noted, 77% of the class had a bachelor’s degree or higher. A person looking to change careers who invests in a 20-week program shows not only moxie but also curiosity. “Data science is constantly moving and evolving at a very high pace. There’s a new library, modeling or deep learning framework coming out literally every week—you’ve got to constantly stay on top of your game,” Fly explained. “So being able to identify folks who are lifelong learners has been a critical success factor for our hiring profile. We found a pretty high concentration of those folks at Codeup.”  Looking Forward: Advice for Future Codeup Data Science StudentsThe demand for professionals with knowledge of data science is not going away anytime soon. Business is continuing to boom for Fly and Quickpath, and he is already looking forward to the next round of graduates. And for those looking to enroll in a future Codeup Data Science boot camp, he has two pieces of advice.First, Fly emphasizes the importance of data, data, data, underscoring that it’s more important than all the algorithms of the world. He believes data preparation is the most fundamental skill to master. “An average data scientist with really good data will always be able to build a better model than an expert data scientist with data,” Fly stressed.Second, he advises that in order to be successful in this field, a person must have a love of learning and can never rest on their laurels.“If you sit still for six months, your skills are out of date,” he advised. “You must have a thirst for knowledge and an ‘always-on’ learning mentality.” Are you looking to reboot your career and become a data scientist or computer programmer? Then it’s time for you to look into Codeup. Our 20-week boot camps will immerse you in the latest technologies and provide you with the skills to make an immediate impact. We offer many financial aid options to help get you on your journey today.Photo provided by Startups San Antonio"
31,Codeup Set to Open Dallas Campus,"Although Codeup is launching a Dallas campus, make no mistake—this location will not be a “second Codeup.” Any of the startup’s additional campuses will “belong to one cohesive Codeup.”Codeup helps launch careers in computer programming or data science through its 20-week accelerator programs. Once equipped and trained with the necessary skills, candidates are connected to employers—the goal is to “embed greatness” in an organization.Codeup currently offers two 20-week programs: Full Stack Web Development and Data Science. Each is focused on building the tech workforce and with a graduate placement rate of 97 percent over the last 18 months, the startup seems to be headed in the right direction.LEARN MORE"
32,Local career accelerator program expanding to Dallas,"SAN ANTONIO – Codeup is expanding and opening a second accelerator campus in Dallas next year to meet the growing demand for tech workers.“So what we’ve done in San Antonio is we started just producing software developers for web, and at beginning of this year, we began to expand to data science. We graduated the first data scientist in San Antonio a few months ago, and we have our second cohort in now,” said Jason Straughan, CEO and co-founder of Codeup.LEARN MORE"
33,Codeup Set to Open Coding School in Dallas,"Codeup, a homegrown career school for aspiring software developers, is expanding to Dallas.The Houston Street immersive coding school for adults is taking its web development program to the Big D with plans to open a downtown Dallas campus in early 2020, CEO Jason Straughan told the Rivard Report Friday.The company announced in a blog post its intentions to launch in Dallas to serve a growing need for tech workers in the Dallas-Forth Worth metropolitan area. Pending approval from the Texas Workforce Commission, which regulates career schools and colleges in the state, Codeup is set to open in Dallas with an initial cohort of 24 students studying full stack web development, which includes programming the design and behavior of a website as well as the underlying data and backbone of a website.LEARN MORE"
34,Codeup to open Dallas campus in 2020,"Codeup is heading to Dallas.The San Antonio-based company, which offers 20-week coding and software engineering boot camps, is opening a campus in Dallas sometime next year to meet the state’s growing demand for high-tech workers, Codeup announced in a blog post Friday.Dallas was chosen for Codeup’s second campus because the company said it’s placed program graduates in jobs with employers there, including USAA and Cognizant Technology Solutions, for average salaries of over $86,000.LEARN MORE"
35,Local coding school expanding to Dallas,"Codeup LLC, a San Antonio-based school for software coders and data scientists, is expanding to Dallas, the company confirmed Friday morning on its website.It has secured a spot in downtown Dallas and is awaiting final state approval for a program launch in early 2020.The company said that after five years of exclusively being in San Antonio, it has refined its curriculum, built its team, expanded its partnership network and has a 97% graduate placement rate over the last 18 months.READ MORE"
36,Codeup Dallas 2020,"11/20/2019 UPDATE: Codeup Dallas is approved and now accepting applications! Learn more here.—Codeup is San Antonio’s premier career accelerator, and we’ve been proud to build the tech workforce here over the last five years. Now, we’re excited to bring our mission of creating pathways to Software Development and Data Science careers to more people. Dallas, we have our eyes set on you!After five years exclusively focused on San Antonio, why expand now? As the bootcamp model has grown, we’ve watched our competitors expand nationally, open dozens of campuses, buy and sell to and from each other, launch coworking spaces, and more. Meanwhile, we believe the outcomes of our graduates far outweigh the number of campuses we have. We have refined our curriculum, built our team, expanded our partnership network, and built a brand people can trust. Where did we all end up? Many of our competitors have closed or sold. We’re still Texas-based, owned by our founders, and our investment in quality has brought our graduate placement rate to 97% over the last 18 months. So what’s next?With our product refined, we were ready to expand. We looked at cities all over the country, but quickly realized we didn’t want a second Codeup, or a third. Instead, we need additional campuses to belong to one cohesive Codeup. So we didn’t pick a city, we picked a state. Texas has the 10th largest economy in the world and has over 50 company headquarters from the Fortune 500 list. All four of our major cities (Houston, Dallas, Austin, and San Antonio) have high demand for tech talent, offer a welcoming place to live and do business, and are home to a large veteran population ready for the jobs of tomorrow. We are not creating a second Codeup, but we are opening another campus. The time is right, and Texas is ready. Dallas jumped to the top of our list to start with because we’ve already placed our graduates there at companies like USAA and Cognizant for average starting salaries of $86,666. We focus on job outcomes, so we go where our partnerships lead. That way, we can live our mission of empowering life change and launching careers in technology.We’ve secured a space in the heart of downtown Dallas, where students will have access to vibrant city life and dozens of employers. While we await final state approval for an early program 2020 launch, join our mailing list to be the first to hear when we launch!"
37,Data Science in the Real World,"For some, it may be difficult to grasp how prevalent data science is in our world! I’ve written a post here that brings to life some of the ways in which you may see data science in your everyday routine. However, you may find yourself wondering exactly how far-reaching data science actually is, or how it actually impacts certain industries or companies. In this post, I’ll go a little deeper into these topics.For one, data science has been a major player in industries like manufacturing and retail. For example, in manufacturing, data science is utilized from an insight-driven perspective. Simply put, it’s how businesses use data to figure out how to best utilize their resources when making and producing a large-scale product they’re trying to sell to customers. For instance, a business may collect data on how the customer interacts with the product in order to figure out what features are most profitable to produce. They may also collect data related to how well the machinery is operating on the production line so they can analyze weak points and optimize efficiency. For example, Ford utilizes wireless connections and in-vehicle sensors to capture insights on driver behavior as well as ways to increase production speed.In retail, we also see a similar move towards an insight-driven perspective, one that allows businesses to use predictive analytics by utilizing data from product reviews, call center records, and social media streams. On a merchandising front, businesses like Target and Walmart may even utilize data collected from video footage or track heat signatures in order to improve layout and product placements. If you have ever wondered why you can’t walk out of Target without spending at least a hundred bucks, now you know why! Basic industrial-organizational psychology usually places the most utilized items, like milk and eggs, in a place further into the store so that customers must walk past a plethora of products that they don’t need but may end up buying due to product placement. What has become even more significant than brick-and-mortar stores, however, are online retailers, such as Amazon. Because of the huge variety of items to choose from, many customers may feel overwhelmed by how many options there are when they visit the website. However, because Amazon is so great at collecting data on customers and then turning that raw data into valuable predictors, they make it much easier for the average consumer to buy products suited for them. For example, to figure out what items to recommend users, they collect data on what items that user browses through and what they end up buying. Amazon also takes into account the user’s shipping address, which lets them reliably predict what income a user may have. All these little tidbits of information allow them to build a 360-degree model of who this individual so that they can associate them with a group of people that also have the same identifiers. Grouping users can help Amazon make assumptions about what you will buy based on what others buy in your grouping. If you buy Burt’s Bees Lip Balm with a predicted income of 53k, they may come to the conclusion that people in this category also have a high rate of buying Bounty Quick-Size Paper Towels, which they can then recommend you buy next. In many ways, it’s exactly like what Target does with product placement when someone walks into the store. However, because Amazon lacks a physical storefront they must instead strategically place products around the web page in order to create the same passerby effect.  On a larger scale, this is essentially how advertising works on all the social media platforms you may find yourself scrolling through. One one hand, they may collect data on you in order to predict which advertisements your group of users may relate with. However, they may also track your individual data and essentially stalk you with little bits of code called cookies. For example, one time while scrolling through Instagram, I saw an ad for my absolute favorite chai brand that’s manufactured in the town of my alma mater, the University of Colorado at Boulder. I caught myself thinking, “ How in the world did they know?” The ad was so specific to my preferences that it caught me off guard. I’m assuming at some point I had Googled this brand of chai and the browser cookies were used by Instagram to target users with that specific interest, which is in general how most targeted advertising works. The weird part is, I couldn’t recall ever Googling it… The fact of the matter is, many businesses are collecting data on behaviors you may not even realize. Some say that Facebook records users through their phones or that Alexa is listening to you without your knowledge. The truth is, we have reached an age in which data is a highly valued commodity. As demonstrated by the near failure of footwear company Timberland, how a company uses data can either make or break them. As data becomes increasingly important in our world, the demand for data scientists will be even higher.  If you’re interested in becoming a data scientist, check out Codeup’s program here. It’s a 20-week hands-on accelerator that will teach you all the technical skills you need to know in order to jumpstart a career in Data Science. —Joyce Ling is a software developer at a cloud security company based in Richardson, TX. In her free time, she sings in a women’s chorus, rock climbs, plays guitar, and currently runs an organization to bring queer women together in the Dallas/Ft. Worth metroplex. Follow her on Instagram @ironicsushi or read more of her work at The Luscious Word."
38,A QUEST THROUGH CODEUP,"Codeup isn’t a cheap program – we know that. As one of the longest accelerators in the country, we recognize that cost is a concern for many prospective students. That’s why this week we are excited to highlight one of our long-standing financial aid partners – Project QUEST – to show you how many pathways are available.First of all, we view your tuition as an investment in your future, and we put our best people, ideas, and efforts to make that investment fruitful. But we also want to make that investment more accessible by providing as many financial pathways as possible for tuition funding. As we approach their annual fundraising luncheon this week, we want to highlight Project QUEST as one of the most effective such pathways you can explore.“The experience of attending Codeup has radically altered my life. Now, instead of financially treading water in a service industry job with a college degree that felt wasted, I have a fulfilling professional career with exciting possibilities for in-field advancement.” – Matthew CapperProject QUEST is a San Antonio based non-profit dedicated to workforce development and building our city’s future economy. They provide grant funding for educational and training programs, as well as career coaching and support resources (like utilities, childcare, and transportation). Over the last 4 years, Project QUEST and Codeup have collaborated to help dozens of students change careers.“Assistance from Project QUEST was invaluable and empowering. They offer incredible support for career training.” – Jesse RuizIn 2019 alone, Project QUEST has helped Codeup train 23 Software Developers and Data Scientists. Those students received grant funding (i.e. free money) anywhere from $2,000 to a full tuition ride, allowing them to fully focus on their education. Our combined efforts help empower life change, resulting in a 92% completion rate and a 95% employment rate of students receiving Project QUEST funding. And when we say life change, we mean it. The average starting salary leaving our program for Project QUEST participants this year was $59,000! That’s the salary floor, and there’s no ceiling. Considering that many of Project QUEST’s participants come from backgrounds of under or unemployment, these are generationally impactful numbers.“QUEST’s help compounded this opportunity by giving me enough fiscal assistance that I am now on more secure financial footing than I have been in my entire adult life.” – Matthew CapperIf you’re excited about Project QUEST’s impact on individuals and communities, support their work by donating here! If you’re considering a career change, reach out to us at info@codeup.com and we’ll help support your quest for a better future."
